#;ID;UCID;Name;Website;Description;Geographical extent;"Geographic coverage
Country";"Geographic coverage 
NUTS 2021";"Responsible
Organization";"Responsible 
Organization 
Category";"Functions of Government 
(COFOG level I)";"Functions of Government 
(COFOG level II)";Status;Start Year;End Year;2020 AI Classification (deprecated);Process Type;Application Type;Technology;CrossSector;CrossBorder;Uptake;Interaction;Use Type;Improved Public Service;Personalized Services;Public (citizen)-centered services;Increase quality of PSI and services;More responsive, efficient, and cost-effective public services;New services or channels;Improved Administration;Improved Administrative Efficiency;Cost-reduction;Responsiveness of government operation;Improved management of public resources;Increased quality of processes and systems;Better collaboration and better communication;Reduced or eliminate the risk of corruption and abuse of the law by public servants;Enabled greater fairness, honesty, equality;Open government capabilities;Increased transparency of public sector operations;Increased public participation in government actions and policy making;Improved public control and influence on government actions and policies;Source
31;50023;IPSO-50023;Public Healthcare Benefits Subsidy;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Created a blockchain process to make the financial and administrative process for subsidized public healthcare services more efficient.;National;Netherlands;NL;CAK;Central-Government;Health;Public health services.;Not in use anymore;2016;;;Public services and engagement;Financial management and support ;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
32;50024;IPSO-50024;Healthcare Process Authorization;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;The Healthcare Institute focused on authorisations in the healthcare process. The Proof of Concept project evolved around a fictional elderly person, who required care from different healthcare providers. Who can make arrangements when this person ends up in a (temporary) emergency situation currently is arranged in an informal way or at best registered in a notebook. Healthcare providers don’t always know each other or aren’t aware of specific arrangements. The Healthcare Institute sees Blockchain as a technology that can create a clear overview of authorisations in the healthcare process. It has developed a prototype on Ethereum, which allows involved healthcare providers to get real time information on a need to know basis about their client/ patient. The client/patient has more control over his data and can determine - via an application - which professional can get access to additional information.;National;Netherlands;NL;Healthcare Institute;Central-Government;Health;Public health services.;Not in use anymore;2016;;;Public services and engagement;Data Sharing Management;Blockchain;No;No;No;G2C;Auditing and logging;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
33;50025;IPSO-50025;FlashCompany;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Establishing a temporary foundation in order to collect money for a good cause is a time consuming administrative process. The Chamber looked into the possible benefits of establishing a temporary organisation (FlashCompany) on the Blockchain. It found out that for the registration process (online), opening a bank account (can be linked automatically) and selecting conditions for establishing and ending the temporary organisation, Blockchain would be a viable solution. In addition, using smart contracts for donations (“If this video has 1000 views, I will donate 100 Euro”) could be interesting.;National;Netherlands;NL;Chamber of Commerce;Central-Government;General public services;General services.;Not in use anymore;2016;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;Yes;G2C;Process digitalisation;Improved Public Service;;;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
34;50026;IPSO-50026;Blockchain-based Land Registry;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;In this second round of blockchain Proof of Concepts with the government, we looked at and co-designed with a Proof of Concept from the municipality of Eindhoven. The Department does not only register ownership of real estate, but also registers and provides geo-information data. Sometimes the data is used in the wrong context, or an outdated set is accidentally used. By applying the blockchain, the Kadaster can immediately specify the most up-to-date dataset by means of a timestamp. It can then be used when filling in a form for environmental law requirements as well as other use cases. All participants can then establish that the data is up-to-date and correct. Providing these open data sets within the blockchain is not a very complicated process, but is therefore suitable to use to build a first blockchain prototype. The Kadaster is also researching work from other countries that are already experimenting with the blockchain and is looking to apply certain elements in the Netherlands.;National;Netherlands;NL;Kadaster Gemeente Eindhoven;Central-Government;General public services;General services.;Not in use anymore;2016;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2C;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
35;50027;IPSO-50027;Truck Driver Tracking;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Developed a blockchain-based system for the tracking of working and resting hours of truck drivers.;National;Netherlands;NL;Human Environment and Transport Inspectorate;Central-Government;General public services;Transport;Not in use anymore;2016;;;Analysis, monitoring and regulatory research;Monitoring policy implementation;Blockchain;No;No;No;G2G;Tracking of goods, supply chain, iot;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
36;50028;IPSO-50028;Financing New School Buildings;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Built a prototype on Ethereum in collaboration with ING to improve the process of financing the development of new school buildings. This administrative and financial process involves multiple governmental organisations.;National;Netherlands;NL;Ministry of Finance;Central-Government;General public services;General services.;Not in use anymore;2016;;;Public services and engagement;Financial management and support ;Blockchain;Yes;No;No;G2G;Process digitalisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;X;X;X;X;X;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
37;50029;IPSO-50029;Electric Vehicle Subsidy Registry;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Develop a significantly improved (and highly automated) regulation for subsidies on electric vehicles.;Local;Netherlands;NL;City of the Hague;Local Government;General public services;General services.;Not in use anymore;2016;;;Public services and engagement;Financial management and support ;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
38;50030;IPSO-50030;Medical Instrument Registration;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;The CIBG manages, records and provides information for the government. Especially in the field of health care. One of the most well-known registers of the CIBG is probably the BIG registry where medical professionals are registered. But there are still more data that fall under the management of the CIBG. This registration has been largely digitized and the CIBG could therefore call you an ICT-driven organization. Does the blockchain still have added value?;National;Netherlands;NL;CIBG;Central-Government;Health;Public health services.;Not in use anymore;2016;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2G;Process digitalisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;;X;X;;X;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
39;50031;IPSO-50031;Employment and Identity Fraud;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Created a use case for the improvement of data sharing with several other governmental organizations in order to improve detection of fraud, exploitation and organized crime within the chain of work and income.;National;Netherlands;NL;The Inspectorate of the Ministry of Employment;Central-Government;General public services;General services.;Not in use anymore;2016;;;Internal management;Internal management processes;Blockchain;No;No;No;G2G;Authentication;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;X;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
40;50032;IPSO-50032;Multi-stakeholder Financial Arrangements;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;Developed a use case for the improvement of financial arrangements that involved multiple stakeholders.;National;Netherlands;NL;Ministry of Foreign Affairs;Central-Government;Economic affairs;General services.;Not in use anymore;2016;;;Public services and engagement;Financial management and support ;Blockchain;No;No;No;G2B;Disintermediation and decentralised networks;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;;X;X;X;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
41;50033;IPSO-50033;Large Event Permitting;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;The municipalities of Barendrecht, Albrandswaard and Ridderkerk's BAR Organization looked into ways in which they could apply blockchain to various permitting processes such as street parties. The BAR organization looked at small-scale events where someone applies for a license for a street party. Currently, the permit application is submitted to the municipality, but must be checked by several authorities, such as the fire department or police to approve or deny the permit based on feasibility. All these control moments and advice are again collected by the municipality and then it is checked whether the event permit can be issued. With the Proof of Concept team and experts, the BAR organization tried to model this process on the blockchain automating standard procedures with smart contracts. An additional advantage is that all involved agencies are now also immediately aware of each other's advice and any objections, without intervention of the municipality. Both matters mean a huge reduction in the burden on the work within the municipality. Everything can be done faster and the procedure becomes less vulnerable because a large part of the communication is no longer necessary.;Local;Netherlands;NL;BAR Organization Gemeente Barendrecht Gemeente Albrandswaard Gemeente Ridderkerk;Local Government;General public services;General services.;Not in use anymore;2016;;;Internal management;Internal management processes;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
